magnitude
2.88
3.29
2.67
2.68
3.1
2.51
2.5
2.6
3
2.6
3.2
2.7
2.63
3.2
3.92
2.95
2.6
2.5
2.6
3.6
3.5
3.1
2.65
2.53
3.2
2.7
3.5
2.8
2.62
3
2.5
2.84
3.6
2.6
2.6
2.8
2.61
3.6
3.3
2.57
2.6
2.6
4.2
2.8
2.79
2.57
2.8
2.5
2.9
2.6
4.75
2.6
2.82
2.52
4.58
2.75
3.4
2.8
2.79
2.74
2.8
2.5
2.66
2.6
3.03
3.01
2.5
2.5
2.63
2.8
2.9
2.83
2.6
2.5
3.56
2.59
2.86
3.21
4.7
2.52
2.5
2.7
2.6
2.76
3.2
3.2
3
2.6
2.7
3.7
3.1
2.71
2.61
3.7
2.5
2.6
3.9
2.7
2.83
2.66
2.5
4.5
2.52
2.59
2.6
2.58
4.3
2.58
2.65
3
2.54
2.61
3.86
2.86
3
2.75
2.75
2.59
2.85
2.6
2.8
2.7
2.6
3.22
3.03
3.1
2.69
2.54
2.6
2.5
3
3
2.9
2.7
2.75
2.5
2.72
3.19
2.88
2.77
2.65
3.45
3
2.8
2.7
2.71
2.9
3.3
2.7
2.5
3.1
2.97
2.7
2.53
2.5
2.5
3.4
2.5
2.6
2.59
2.5
2.8
2.51
2.94
2.64
3.3
2.67
2.59
5.3
4.4
3.01
4.3
2.9
2.58
2.64
2.68
2.8
3.07
2.69
3.2
3.21
3.5
2.64
2.5
3
2.66
2.7
2.8
2.6
2.6
2.59
3.2
2.85
2.57
2.67
3.03
3.02
3.12
3.51
2.84
2.58
3
2.5
2.68
2.5
2.51
2.59
2.5
2.59
2.5
2.9
2.82
2.9
2.62
2.6
3.1
2.64
3.3
2.7
2.91
2.77
2.63
2.69
2.5
3.9
2.6
3
4
2.96
2.75
2.7
2.9
4.5
3.3
2.57
2.59
3.26
2.5
2.5
2.57
3.47
2.5
2.76
2.72
2.8
2.65
2.54
2.51
2.5
2.5
2.58
2.61
2.5
3.3
2.9
3
3.14
2.55
2.81
3.36
2.96
2.59
3.62
3.09
2.5
2.9
2.87
2.7
2.6
2.73
2.54
2.5
2.85
2.8
2.85
2.59
2.8
3.27
2.64
2.63
2.55
2.73
2.5
2.6
2.79
2.9
3.3
2.5
3.86
2.64
2.61
3.1
3
2.93
3.2
3.24
2.8
2.5
2.5
2.9
3.7
3.5
4.2
3
3
2.8
2.6
2.7
2.5
3.5
2.8
2.9
2.73
2.93
3.03
3.36
2.63
3.17
2.8
2.8
3.2
2.5
3.4
2.7
2.5
2.9
4.7
2.6
2.54
2.71
2.5
2.53
3.09
2.94
2.91
2.74
3.3
2.5
2.9
2.93
2.52
2.55
2.6
2.98
2.8
2.7
2.73
3.5
2.6
2.76
2.89
2.66
2.5
3.14
3.53
2.9
2.82
3.4
2.9
3.5
2.65
2.56
3.5
3.4
2.6
2.5
3.24
2.93
3
2.9
3
2.5
2.5
2.82
2.6
2.6
2.64
2.7
2.8
2.6
2.5
2.61
2.6
2.54
4.4
2.8
2.9
2.6
3.5
3.98
3.05
3.1
2.9
2.64
2.72
3
2.6
3.26
2.67
2.7
2.5
2.84
2.83
3
2.61
2.7
2.54
2.68
3.5
3.1
3.44
2.83
2.73
2.8
3.78
2.6
2.82
3.1
3.1
3.5
4.3
3.3
2.53
3.27
3.22
2.6
