time,lat,lon,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-23T22:16:57.380Z,33.8768333,-117.7598333,3.34,2.61,ml,71,25,0.05408,0.23,ci,ci40380048,2022-11-25T21:51:30.961Z,"5km ESE of Yorba Linda, CA",earthquake,0.21,0.47,0.198,27,automatic,ci,ci
2022-11-23T14:50:35.291Z,31.52836424,-104.0080874,6.735705566,2.7,ml,26,64,0.03978448,0.2,tx,tx2022wytk,2022-11-24T06:43:04.040Z,"31 km NW of Toyah, Texas",earthquake,0.600897029,0.50723986,0.1,14,reviewed,tx,tx
2022-11-23T13:38:09.700Z,35.6381667,-117.4441667,6.62,2.51,ml,34,74,0.1303,0.14,ci,ci40379888,2022-11-24T06:19:30.040Z,"15km SSW of Searles Valley, CA",earthquake,0.16,0.57,0.159,80,reviewed,ci,ci
2022-11-23T08:05:12.187Z,31.6797273,-104.4108303,6.131567383,2.9,ml,11,77,0.012858608,0.2,tx,tx2022wyga,2022-11-23T08:20:19.064Z,"55 km S of Whites City, New Mexico",earthquake,0.973098524,0.686845864,0.1,7,reviewed,tx,tx
2022-11-23T03:42:45.020Z,32.91,-115.9686667,9.87,2.57,ml,71,30,0.02312,0.21,ci,ci40379696,2022-11-24T01:59:04.040Z,"20km N of Ocotillo, CA",earthquake,0.15,0.42,0.169,104,reviewed,ci,ci
2022-11-23T02:30:13.657Z,38.1864,-117.8655,6.3,3.5,ml,34,52.43,0.088,0.2189,nn,nn00851914,2022-11-23T16:00:26.839Z,"31 km SE of Mina, Nevada",earthquake,,0.8,0.51,17,reviewed,nn,nn
2022-11-23T01:57:57.820Z,31.71635872,-104.5581962,7.828295898,3.6,ml,25,84,0.0254625,0.2,tx,tx2022wxtx,2022-11-24T02:01:59.641Z,"53 km SSW of Whites City, New Mexico",earthquake,1.042226669,0.48762861,0.2,18,reviewed,tx,tx
2022-11-22T23:31:31.671Z,38.3489,-115.8266,7.3,2.9,ml,10,175.49,0.707,0.1967,nn,nn00851875,2022-11-23T23:47:32.040Z,"78 km N of Rachel, Nevada",earthquake,,8.5,0.14,5,reviewed,nn,nn
2022-11-22T23:28:15.666Z,38.322,-115.9271,4.8,2.8,ml,9,223.2,0.692,0.2048,nn,nn00851872,2022-11-23T23:49:18.040Z,"76 km NNW of Rachel, Nevada",earthquake,,5.1,0.18,5,reviewed,nn,nn
2022-11-22T23:24:57.768Z,47.1331,-65.603,12.292,2.8,ml,16,89,0.343,0.36,us,us7000irr9,2022-11-25T05:49:38.040Z,"13 km NNW of Miramichi, Canada",earthquake,2.23,8.407,0.06,36,reviewed,us,us
