Latitude,magnitude
31.64698064,2.7
31.67535254,3.1
31.94641113,2.9
38.2258333,3.54
32.42706299,2.6
38.2331667,2.81
38.2285,2.82
36.2478333,2.84
38.6532,3
39.6953,2.5
31.64882085,2.5
44.2653,2.5
28.6807251,2.5
44.3894,2.6
40.3945,2.73
38.1199,2.5
31.60205647,2.9
41.5044,2.8
40.902,2.5
46.8978,3.2
46.889,2.8
46.8979,3.3
37.919,2.8
44.312,3.3
44.2939,2.6
36.4666667,2.58
31.69078521,2.6
31.68414439,3.2
31.69290771,2.6
28.36120605,2.5
28.72467041,2.6
31.52936933,3.4
31.53533936,2.6
46.8883,2.8
32.1903333,2.89
36.5893333,3.23
36.5846667,4.12
28.96453857,2.6
28.70269775,2.6
36.586,3.07
36.5751667,2.6
28.65325928,2.6
35.106,3.12
31.61168865,3
33.9348333,2.94
38.7835,2.89
40.4145,2.52
34.4368333,2.5
27.7416,4.2
37.1209,3.4
42.6923,2.6
28.70269775,2.9
31.64233814,2.8
32.89581299,2.6
35.8251667,3.09
44.6078333,2.85
32.6946667,2.68
33.9906667,2.76
36.278,2.79
25.3946,3.4
38.9283,2.6
28.7008667,2.5
32.16,2.76
34.0955,2.53
36.0641667,2.5
44.3146,3.1
44.3019,3.1
36.3449,3.8
33.3233333,2.79
38.521,3.99
38.5243333,2.72
38.5215,2.62
38.5238333,2.96
31.68003984,3
36.483,3.28
44.54266667,2.61
33.1933333,2.83
36.4891667,2.86
31.61090693,3.1
31.60261762,2.5
38.5181667,2.6
32.37762451,3.5
32.38586426,3.2
37.5224,3
36.9731667,2.61
41.3522,3.8
38.5206667,2.71
37.522,2.6
31.97296143,2.8
38.5208333,2.53
37.0021667,3.58
37.5186,3.5
37.5136,2.6
38.1912,2.8
33.1128333,2.94
32.38494873,2.6
40.7213333,2.63
33.8888333,2.88
31.61338461,2.8
37.5301,2.8
34.0498333,3.28
33.4715,3.03
35.8121667,2.97
31.5866649,2.6
38.8035,2.68
31.60140388,2.5
34.291,2.61
40.1353333,2.79
28.87115479,2.5
31.60933161,3.1
31.75968336,2.9
31.97479248,2.9
41.9659,2.8
31.58645679,4
31.66286896,2.8
41.9645,2.7
31.62078448,2.6
31.66909306,4.6
31.6749741,2.6
31.68068532,3.3
32.5482,2.6
31.5929574,2.6
31.6789633,2.5
31.59325903,2.5
38.5188333,2.65
39.1266667,3.67
31.6398,2.7
36.8428,2.7
37.0676667,2.81
35.9705,2.61
37.3046,2.7
38.5153333,2.59
31.59278925,2.7
38.5136667,3.29
31.67856595,2.6
31.67770342,2.5
31.61268742,3.7
31.60344613,2.7
31.72639096,2.9
31.58266203,2.6
31.61012241,2.7
35.674,3.29
31.64927944,2.5
31.07272341,2.9
31.58043629,2.9
39.3458333,2.57
33.1831667,3.04
31.64915374,3.2
31.64751915,2.8
31.657872,2.9
31.63946138,3.4
31.58999786,2.7
31.66587303,2.5
31.15696274,2.7
31.61525203,2.7
42.6104,2.6
31.15035212,2.7
44.7578333,2.59
31.64293439,2.6
31.61987221,2.7
31.68059925,2.6
33.1913333,2.71
38.7995,2.75
41.4014,3.3
37.1353,2.9
31.62904043,2.6
38.1508,2.9
31.67782867,2.5
31.67120433,3.5
31.6689,2.7
31.67505059,3.1
31.59106911,2.6
31.66217579,3.1
31.65092846,2.7
31.75611336,2.6
39.9787,2.6
31.67136023,2.6
37.4093333,3.93
35.40516667,2.65
38.2042,2.6
37.4108333,3.29
36.3781,3.4
31.64074445,2.5
36.8105,3.33
36.8083333,2.65
36.812,2.82
31.65468979,3
31.67343347,3.8
32.7996667,2.81
38.1708,3.5
36.0003333,2.62
31.65271537,3.1
38.7486667,2.71
31.73054418,2.7
40.8165,3.02
38.6265,2.73
41.0453333,3.54
31.67371592,2.6
32.40600586,2.9
32.5152,2.8
36.7981667,2.67
35.0381667,3.62
31.73783634,2.5
38.1682,2.8
34.4277,2.9
34.446,3
36.6421667,2.73
40.4871667,4.07
40.4816667,3.8
33.9998333,2.5
38.1645,2.5
29.08538818,2.7
40.4815,2.78
48.9185,2.69
29.07623291,2.6
40.1378333,2.52
40.318,2.58
48.313,2.89
37.5793333,2.89
44.4435,2.5
31.71586805,2.7
31.6647967,2.7
35.3131667,3.28
37.1018,2.5
31.68232017,2.5
35.7981667,2.82
31.68058579,3.1
31.6709213,2.7
35.368,2.52
31.6690531,2.5
30.9015,3.93
31.6651707,2.6
31.68196449,3.5
31.5356667,3.09
40.286,2.6
34.7971667,2.93
36.7566667,2.57
39.4235,2.69
36.759,2.67
31.6154034,2.6
31.63127098,3
33.1728333,3.24
40.4623333,2.55
32.2803333,2.67
31.6840665,2.6
38.1595,2.57
31.66230549,2.6
33.3633333,2.58
31.58578978,2.7
38.0016,3.3
41.1491667,2.79
31.9305,4.54
38.6767,2.6
36.0181667,2.61
40.4643333,2.56
31.64937654,2.9
36.8021667,2.57
40.428,2.56
36.9511667,2.56
44.0163,2.6
31.59497554,2.8
31.68237121,2.7
37.0725,2.7
36.0411667,2.7
28.85284424,3.1
31.66997223,3
28.84185791,2.6
31.6538333,3.77
28.82537842,2.7
44.3592,2.7
47.4261,2.7
28.73565674,2.6
28.70269775,2.5
28.84918213,2.7
38.8053333,2.77
38.8043333,2.74
41.2768333,2.68
28.82904053,2.5
36.9711667,2.59
32.4235,2.94
32.415,3.31
32.39776611,2.7
32.3671667,2.56
32.407,2.76
38.7966667,3.15
38.7242,2.8
40.284,2.59
35.9438333,2.73
32.9116667,2.82
32.9095,3.61
32.9105,3.72
32.9033333,2.79
32.915,3.29
44.2933,2.7
32.918,3.41
33.6698333,2.88
31.8566667,2.81
32.4128333,2.5
31.99458088,3.2
37.4133333,2.95
32.9191667,3.25
38.1649,2.7
32.901,2.54
31.95922852,2.6
31.65564571,2.9
32.8948333,3.62
44.3755,2.8
36.5408333,2.64
35.6711667,2.52
32.2805,2.56
36.6781667,3.22
38.7863333,2.82
31.62550324,2.5
31.62717501,3
38.8223333,2.93
32.00373574,2.6
31.65470519,2.8
31.9308333,2.51
31.69045583,2.7
31.6328237,2.5
31.65809185,3.1
31.59612811,2.6
31.66290648,2.5
31.68926756,2.5
45.2228,2.5
31.61718158,2.6
31.4452,2.5
35.6421667,2.72
31.59044244,2.7
40.569,2.73
44.2613,2.6
44.3465,2.7
38.8328333,2.74
31.64266265,2.5
32.8898333,2.55
44.326,2.6
39.3263333,2.74
40.4025,2.55
31.2615,2.79
31.76455115,2.6
43.4726667,2.56
31.61429685,4
31.60998442,2.6
31.61085255,3.6
31.6071584,2.5
31.66961329,3.4
36.573,2.54
31.62255892,2.9
31.61106576,3.6
31.61473187,3
35.7945,2.99
31.73429953,2.8
40.788,2.66
38.7001,3.3
31.61477713,4
31.5951219,2.9
38.6816,2.7
36.5725,2.73
31.65680412,2.7
31.5927375,2.6
31.66460576,2.9
48.392,2.51
41.6835,2.62
31.69531285,2.5
37.992,2.66
38.529,2.84
33.1548333,2.72
33.80767822,2.6
44.7891667,2.54
44.3167,2.5
38.7906,2.5
38.8195,3.32
38.8136667,2.71
38.7988333,3.34
31.65935582,2.7
38.2391,2.9
36.856,2.5
48.4235,3.56
31.61423098,3.5
31.67017885,2.5
36.8575,2.69
36.8575,2.75
31.65950067,2.5
31.67328772,2.5
31.59978378,2.8
38.1577,2.5
36.1976667,2.89
40.5781667,2.72
41.1365,2.74
36.132,3.45
36.11216667,2.81
43.4759,2.5
31.67321119,2.5
38.824,2.66
38.8235,2.84
34.0185,2.57
32.025,2.69
37.503,2.6
31.50544823,2.6
31.59605996,2.5
31.59534738,3.2
31.61586374,2.7
40.6633333,2.53
31.60786264,3.2
31.60995404,3.5
31.67511743,3
35.3671667,2.84
31.69181273,2.6
31.646951,2.7
33.9835,2.63
37.3885,2.91
40.8213333,3.25
34.98816667,2.51
31.69756109,2.6
31.70714658,2.5
35.8341667,2.73
31.99342185,2.7
37.7965,2.53
38.8321667,2.51
44.4363,2.7
35.5283333,2.7
38.2368333,2.57
31.70284507,2.5
35.0885,2.86
29.8519,2.5
31.1498333,2.6
36.7715,2.86
39.632,2.6
35.68,2.57
44.3536,2.7
34.1588333,3.25
37.38,2.6
31.60739783,2.9
33.0391667,3.54
33.0425,2.57
36.918,3.15
31.31543791,2.5
34.1736667,2.76
31.57904977,2.5
35.5251667,3.53
35.5235,2.96
31.68201092,2.8
45.3264,2.5
34.1703333,2.57
32.50762939,2.6
39.5888,2.7
31.65302574,2.5
38.0553333,2.76
33.4798333,2.57
44.681,4.22
31.61043564,3.1
31.61416492,2.9
32.26959229,2.6
34.7905,2.84
31.7518049,3
32.36938477,2.8
31.67218158,3.2
36.2231667,2.73
31.68393225,2.7
37.7823333,2.69
31.64010271,2.6
31.64933546,3
33.342,3.48
35.6948333,2.78
35.6956667,3.16
31.66300432,2.6
31.9821167,2.7
31.59791297,2.7
31.6064253,3.2
40.3771667,3
31.64939686,2.6
32.00004995,2.8
35.1055,3.12
34.9123333,3.26
32.6989,3.2
31.504,3.24
31.5145,2.95
31.67683334,2.7
31.65467958,2.7
34.0078333,3.76
34.0068333,2.84
35.6433333,2.66
40.3835,2.71
38.3701667,2.52
48.29966667,3.4
31.65220843,2.7
31.6637,2.5
38.1172,2.5
31.64380688,3
36.4608333,2.62
31.55207133,2.5
31.69370569,2.6
32.732,2.9
28.45916748,2.5
33.5018333,2.7
31.68316872,2.5
37.9438333,2.61
31.9911109,2.6
33.2318333,2.53
30.8253,2.8
40.4836667,3.05
40.3743333,2.63
31.59514079,2.5
40.5215,2.57
36.29716667,2.9
44.3013,2.8
31.59419186,2.6
32.00191291,2.6
37.5186667,3.35
34.9223333,2.63
47.458,3
31.67563361,3.2
36.8296667,2.93
38.5181667,2.61
44.3619,2.6
34.4101667,2.7
44.2844,3
42.8995,2.5
39.79,2.72
35.9041667,2.58
39.6326667,2.58
32.5177002,2.6
32.5456,2.8
38.1671,2.7
44.3117,2.7
38.1593,2.5
40.0985,2.5
31.65464279,3.3
40.1048,2.5
45.17016667,2.7
34.374,2.57
38.2476,2.7
31.67117362,2.6
31.55178537,2.8
37.4115,2.81
37.5456667,2.5
37.2298333,3.31
31.56712095,2.6
35.6026667,4.28
31.66138635,2.9
31.66735062,2.7
31.65459698,2.6
31.62614529,2.5
31.72274693,2.5
31.57430579,2.8
36.2383333,3.02
35.08433333,2.73
48.80783333,3.16
32.5928333,2.63
38.8138333,2.5
31.64196172,2.7
31.8693333,3.83
31.24522818,2.5
40.824,2.85
32.11303711,2.7
31.61536623,2.7
38.7638333,2.52
32.394,2.76
38.1232,2.8
36.1853333,2.61
32.33,2.7
36.1851667,3.21
35.889,2.82
44.4377,2.5
31.71610183,2.7
38.8003333,2.99
38.8093333,2.93
31.3605,2.72
39.0713333,2.5
39.0608333,3.76
35.7945,3.08
